enc_class	enc_method	exp	kind	class	method	param	index	uri
tui.Driver#$@$#main(java.lang.String[])#$@$#ImageIO.read#$@$#METHOD	javax.imageio.ImageIO	read(java.io.File)	null	null	null
darwInvest.environment.StrategyParameters#$@$#clone()#$@$#ticker#$@$#FIELD	darwInvest.environment.StrategyParameters	null	ticker	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/environment/StrategyParameters.java
darwInvest.environment.StrategyParameters#$@$#clone()#$@$#cloned.time#$@$#FIELD	darwInvest.environment.StrategyParameters	null	time	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/environment/StrategyParameters.java
darwInvest.environment.StrategyParameters#$@$#clone()#$@$#time#$@$#FIELD	darwInvest.environment.StrategyParameters	null	time	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/environment/StrategyParameters.java
darwInvest.environment.StrategyParameters#$@$#clone()#$@$#cloned.lookback#$@$#FIELD	darwInvest.environment.StrategyParameters	null	lookback	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/environment/StrategyParameters.java
darwInvest.environment.StrategyParameters#$@$#clone()#$@$#lookback#$@$#FIELD	darwInvest.environment.StrategyParameters	null	lookback	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/environment/StrategyParameters.java
darwInvest.environment.StrategyParameters#$@$#clone()#$@$#cloned.cache#$@$#FIELD	darwInvest.environment.StrategyParameters	null	cache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/environment/StrategyParameters.java
darwInvest.environment.StrategyParameters#$@$#clone()#$@$#cache#$@$#FIELD	darwInvest.environment.StrategyParameters	null	cache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/environment/StrategyParameters.java
darwInvest.data.Ticker#$@$#Ticker(java.lang.String)#$@$#this.symbol#$@$#FIELD	darwInvest.data.Ticker	null	symbol	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#Ticker(java.lang.String)#$@$#this#$@$#FIELD	darwInvest.data.Ticker	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#Ticker(java.lang.String)#$@$#symbol#$@$#PARAMETER	darwInvest.data.Ticker	Ticker(java.lang.String)	symbol	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#Ticker(java.lang.String)#$@$#data#$@$#FIELD	darwInvest.data.Ticker	null	data	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#Ticker(java.lang.String)#$@$#news#$@$#FIELD	darwInvest.data.Ticker	null	news	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#Ticker(java.lang.String)#$@$#newsCount#$@$#FIELD	darwInvest.data.Ticker	null	newsCount	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#data.put#$@$#METHOD	java.util.TreeMap	put(K,V)	null	null	null
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#data#$@$#FIELD	darwInvest.data.Ticker	null	data	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#time#$@$#PARAMETER	darwInvest.data.Ticker	addData(long,double[])	time	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#point#$@$#PARAMETER	darwInvest.data.Ticker	addData(long,double[])	point	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#minData#$@$#FIELD	darwInvest.data.Ticker	null	minData	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#minData#$@$#FIELD	darwInvest.data.Ticker	null	minData	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#point.length#$@$#FIELD	Array	null	length	null	null
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#point#$@$#PARAMETER	darwInvest.data.Ticker	addData(long,double[])	point	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#maxData#$@$#FIELD	darwInvest.data.Ticker	null	maxData	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#point.length#$@$#FIELD	Array	null	length	null	null
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#point#$@$#PARAMETER	darwInvest.data.Ticker	addData(long,double[])	point	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#point.length#$@$#FIELD	Array	null	length	null	null
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#point#$@$#PARAMETER	darwInvest.data.Ticker	addData(long,double[])	point	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#minData#$@$#FIELD	darwInvest.data.Ticker	null	minData	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#point#$@$#PARAMETER	darwInvest.data.Ticker	addData(long,double[])	point	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#maxData#$@$#FIELD	darwInvest.data.Ticker	null	maxData	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#point#$@$#PARAMETER	darwInvest.data.Ticker	addData(long,double[])	point	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#point.length#$@$#FIELD	Array	null	length	null	null
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#point#$@$#PARAMETER	darwInvest.data.Ticker	addData(long,double[])	point	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#minData#$@$#FIELD	darwInvest.data.Ticker	null	minData	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#Math.min#$@$#METHOD	java.lang.Math	min(double,double)	null	null	null
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#minData#$@$#FIELD	darwInvest.data.Ticker	null	minData	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#point#$@$#PARAMETER	darwInvest.data.Ticker	addData(long,double[])	point	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#maxData#$@$#FIELD	darwInvest.data.Ticker	null	maxData	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#Math.max#$@$#METHOD	java.lang.Math	max(double,double)	null	null	null
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#maxData#$@$#FIELD	darwInvest.data.Ticker	null	maxData	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(long,double[])#$@$#point#$@$#PARAMETER	darwInvest.data.Ticker	addData(long,double[])	point	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(java.util.Date,double[])#$@$#date.getTime#$@$#METHOD	java.util.Date	getTime()	null	null	null
darwInvest.data.Ticker#$@$#addData(java.util.Date,double[])#$@$#date#$@$#PARAMETER	darwInvest.data.Ticker	addData(java.util.Date,double[])	date	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(java.util.Date,double[])#$@$#addData#$@$#METHOD	darwInvest.data.Ticker	addData(long,double[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(java.util.Date,double[])#$@$#point#$@$#PARAMETER	darwInvest.data.Ticker	addData(java.util.Date,double[])	point	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(java.util.Map)#$@$#newdata.entrySet#$@$#METHOD	java.util.Map	entrySet()	null	null	null
darwInvest.data.Ticker#$@$#addData(java.util.Map)#$@$#newdata#$@$#PARAMETER	darwInvest.data.Ticker	addData(java.util.Map)	newdata	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(java.util.Map)#$@$#addData#$@$#METHOD	darwInvest.data.Ticker	addData(long,double[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addData(java.util.Map)#$@$#entry.getKey#$@$#METHOD	java.util.Map$Entry	getKey()	null	null	null
darwInvest.data.Ticker#$@$#addData(java.util.Map)#$@$#entry.getValue#$@$#METHOD	java.util.Map$Entry	getValue()	null	null	null
darwInvest.data.Ticker#$@$#addNews(darwInvest.data.NewsEvent)#$@$#news.get#$@$#METHOD	java.util.TreeMap	get(java.lang.Object)	null	null	null
darwInvest.data.Ticker#$@$#addNews(darwInvest.data.NewsEvent)#$@$#news#$@$#FIELD	darwInvest.data.Ticker	null	news	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addNews(darwInvest.data.NewsEvent)#$@$#story.getDate#$@$#METHOD	darwInvest.data.NewsEvent	getDate()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/NewsEvent.java
darwInvest.data.Ticker#$@$#addNews(darwInvest.data.NewsEvent)#$@$#story#$@$#PARAMETER	darwInvest.data.Ticker	addNews(darwInvest.data.NewsEvent)	story	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addNews(darwInvest.data.NewsEvent)#$@$#news.put#$@$#METHOD	java.util.TreeMap	put(K,V)	null	null	null
darwInvest.data.Ticker#$@$#addNews(darwInvest.data.NewsEvent)#$@$#news#$@$#FIELD	darwInvest.data.Ticker	null	news	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addNews(darwInvest.data.NewsEvent)#$@$#story.getDate#$@$#METHOD	darwInvest.data.NewsEvent	getDate()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/NewsEvent.java
darwInvest.data.Ticker#$@$#addNews(darwInvest.data.NewsEvent)#$@$#story#$@$#PARAMETER	darwInvest.data.Ticker	addNews(darwInvest.data.NewsEvent)	story	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addNews(darwInvest.data.NewsEvent)#$@$#list.add#$@$#METHOD	java.util.List	add(E)	null	null	null
darwInvest.data.Ticker#$@$#addNews(darwInvest.data.NewsEvent)#$@$#story#$@$#PARAMETER	darwInvest.data.Ticker	addNews(darwInvest.data.NewsEvent)	story	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#addNews(darwInvest.data.NewsEvent)#$@$#newsCount#$@$#FIELD	darwInvest.data.Ticker	null	newsCount	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getSymbol()#$@$#symbol#$@$#FIELD	darwInvest.data.Ticker	null	symbol	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getNumberDataPoints()#$@$#data.size#$@$#METHOD	java.util.TreeMap	size()	null	null	null
darwInvest.data.Ticker#$@$#getNumberDataPoints()#$@$#data#$@$#FIELD	darwInvest.data.Ticker	null	data	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getNumberNewsEvents()#$@$#newsCount#$@$#FIELD	darwInvest.data.Ticker	null	newsCount	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#value#$@$#METHOD	java.lang.SuppressWarnings	value()	null	null	null
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#time#$@$#PARAMETER	darwInvest.data.Ticker	getRange(java.util.TreeMap,long)	time	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#data.lastKey#$@$#METHOD	java.util.TreeMap	lastKey()	null	null	null
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#data#$@$#PARAMETER	darwInvest.data.Ticker	getRange(java.util.TreeMap,long)	data	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#data.lastEntry#$@$#METHOD	java.util.TreeMap	lastEntry()	null	null	null
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#data#$@$#PARAMETER	darwInvest.data.Ticker	getRange(java.util.TreeMap,long)	data	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#time#$@$#PARAMETER	darwInvest.data.Ticker	getRange(java.util.TreeMap,long)	time	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#data.firstKey#$@$#METHOD	java.util.TreeMap	firstKey()	null	null	null
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#data#$@$#PARAMETER	darwInvest.data.Ticker	getRange(java.util.TreeMap,long)	data	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#data.firstEntry#$@$#METHOD	java.util.TreeMap	firstEntry()	null	null	null
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#data#$@$#PARAMETER	darwInvest.data.Ticker	getRange(java.util.TreeMap,long)	data	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#data.floorEntry#$@$#METHOD	java.util.TreeMap	floorEntry(K)	null	null	null
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#data#$@$#PARAMETER	darwInvest.data.Ticker	getRange(java.util.TreeMap,long)	data	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#time#$@$#PARAMETER	darwInvest.data.Ticker	getRange(java.util.TreeMap,long)	time	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#data.ceilingEntry#$@$#METHOD	java.util.TreeMap	ceilingEntry(K)	null	null	null
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#data#$@$#PARAMETER	darwInvest.data.Ticker	getRange(java.util.TreeMap,long)	data	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getRange(java.util.TreeMap,long)#$@$#time#$@$#PARAMETER	darwInvest.data.Ticker	getRange(java.util.TreeMap,long)	time	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getData(long,int)#$@$#getRange#$@$#METHOD	darwInvest.data.Ticker	getRange(java.util.TreeMap,long)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getData(long,int)#$@$#data#$@$#FIELD	darwInvest.data.Ticker	null	data	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getData(long,int)#$@$#time#$@$#PARAMETER	darwInvest.data.Ticker	getData(long,int)	time	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getData(long,int)#$@$#result[0].getKey#$@$#METHOD	java.util.Map$Entry	getKey()	null	null	null
darwInvest.data.Ticker#$@$#getData(long,int)#$@$#result[0].getValue#$@$#METHOD	java.util.Map$Entry	getValue()	null	null	null
darwInvest.data.Ticker#$@$#getData(long,int)#$@$#index#$@$#PARAMETER	darwInvest.data.Ticker	getData(long,int)	index	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getData(long,int)#$@$#result[1].getKey#$@$#METHOD	java.util.Map$Entry	getKey()	null	null	null
darwInvest.data.Ticker#$@$#getData(long,int)#$@$#result[1].getValue#$@$#METHOD	java.util.Map$Entry	getValue()	null	null	null
darwInvest.data.Ticker#$@$#getData(long,int)#$@$#index#$@$#PARAMETER	darwInvest.data.Ticker	getData(long,int)	index	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getData(long,int)#$@$#time#$@$#PARAMETER	darwInvest.data.Ticker	getData(long,int)	time	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getPrice(long)#$@$#getData#$@$#METHOD	darwInvest.data.Ticker	getData(long,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getPrice(long)#$@$#time#$@$#PARAMETER	darwInvest.data.Ticker	getPrice(long)	time	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getPrice(long)#$@$#getData#$@$#METHOD	darwInvest.data.Ticker	getData(long,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getPrice(long)#$@$#time#$@$#PARAMETER	darwInvest.data.Ticker	getPrice(long)	time	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#getPrice(long)#$@$#Math.random#$@$#METHOD	java.lang.Math	random()	null	null	null
darwInvest.data.Ticker#$@$#normalizeData(int,double)#$@$#data#$@$#PARAMETER	darwInvest.data.Ticker	normalizeData(int,double)	data	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#normalizeData(int,double)#$@$#minData#$@$#FIELD	darwInvest.data.Ticker	null	minData	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#normalizeData(int,double)#$@$#which#$@$#PARAMETER	darwInvest.data.Ticker	normalizeData(int,double)	which	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#normalizeData(int,double)#$@$#maxData#$@$#FIELD	darwInvest.data.Ticker	null	maxData	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#normalizeData(int,double)#$@$#which#$@$#PARAMETER	darwInvest.data.Ticker	normalizeData(int,double)	which	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
darwInvest.data.Ticker#$@$#normalizeData(int,double)#$@$#minData#$@$#FIELD	darwInvest.data.Ticker	null	minData	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/data/Ticker.java
