enc_class	enc_method	exp	kind	class	method	param	index	uri
com.strategy.api.interpreter.InterpreterManager#$@$#scheduleInterpreter(java.lang.Thread)#$@$#scheduler.scheduleWithFixedDelay#$@$#METHOD	java.util.concurrent.ScheduledExecutorService	scheduleWithFixedDelay(java.lang.Runnable,long,long,java.util.concurrent.TimeUnit)	null	null	null
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p.getNorthEast#$@$#METHOD	com.strategy.api.logic.Position	getNorthEast()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/Position.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p#$@$#PARAMETER	com.strategy.havannah.logic.situation.EdgeFieldCategory	contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/EdgeFieldCategory.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#board.isValidField#$@$#METHOD	com.strategy.api.board.Board	isValidField(com.strategy.api.logic.Position)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#board#$@$#PARAMETER	com.strategy.havannah.logic.situation.EdgeFieldCategory	contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)	board	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/EdgeFieldCategory.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p.getSouthEast#$@$#METHOD	com.strategy.api.logic.Position	getSouthEast()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/Position.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p#$@$#PARAMETER	com.strategy.havannah.logic.situation.EdgeFieldCategory	contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/EdgeFieldCategory.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#board.isValidField#$@$#METHOD	com.strategy.api.board.Board	isValidField(com.strategy.api.logic.Position)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#board#$@$#PARAMETER	com.strategy.havannah.logic.situation.EdgeFieldCategory	contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)	board	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/EdgeFieldCategory.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p.getSouth#$@$#METHOD	com.strategy.api.logic.Position	getSouth()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/Position.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p#$@$#PARAMETER	com.strategy.havannah.logic.situation.EdgeFieldCategory	contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/EdgeFieldCategory.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#board.isValidField#$@$#METHOD	com.strategy.api.board.Board	isValidField(com.strategy.api.logic.Position)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#board#$@$#PARAMETER	com.strategy.havannah.logic.situation.EdgeFieldCategory	contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)	board	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/EdgeFieldCategory.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p.getSouthWest#$@$#METHOD	com.strategy.api.logic.Position	getSouthWest()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/Position.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p#$@$#PARAMETER	com.strategy.havannah.logic.situation.EdgeFieldCategory	contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/EdgeFieldCategory.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#board.isValidField#$@$#METHOD	com.strategy.api.board.Board	isValidField(com.strategy.api.logic.Position)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#board#$@$#PARAMETER	com.strategy.havannah.logic.situation.EdgeFieldCategory	contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)	board	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/EdgeFieldCategory.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p.getNorthWest#$@$#METHOD	com.strategy.api.logic.Position	getNorthWest()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/Position.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p#$@$#PARAMETER	com.strategy.havannah.logic.situation.EdgeFieldCategory	contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/EdgeFieldCategory.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#board.isValidField#$@$#METHOD	com.strategy.api.board.Board	isValidField(com.strategy.api.logic.Position)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#board#$@$#PARAMETER	com.strategy.havannah.logic.situation.EdgeFieldCategory	contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)	board	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/EdgeFieldCategory.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p.getNorth#$@$#METHOD	com.strategy.api.logic.Position	getNorth()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/Position.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p#$@$#PARAMETER	com.strategy.havannah.logic.situation.EdgeFieldCategory	contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/EdgeFieldCategory.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#board.isValidField#$@$#METHOD	com.strategy.api.board.Board	isValidField(com.strategy.api.logic.Position)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#board#$@$#PARAMETER	com.strategy.havannah.logic.situation.EdgeFieldCategory	contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)	board	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/EdgeFieldCategory.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p.getNorthEast#$@$#METHOD	com.strategy.api.logic.Position	getNorthEast()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/Position.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p#$@$#PARAMETER	com.strategy.havannah.logic.situation.EdgeFieldCategory	contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/EdgeFieldCategory.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#board.isValidField#$@$#METHOD	com.strategy.api.board.Board	isValidField(com.strategy.api.logic.Position)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#board#$@$#PARAMETER	com.strategy.havannah.logic.situation.EdgeFieldCategory	contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)	board	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/EdgeFieldCategory.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p.getSouthEast#$@$#METHOD	com.strategy.api.logic.Position	getSouthEast()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/Position.java
com.strategy.havannah.logic.situation.EdgeFieldCategory#$@$#contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)#$@$#p#$@$#PARAMETER	com.strategy.havannah.logic.situation.EdgeFieldCategory	contains(com.strategy.api.logic.Position,com.strategy.api.board.Board)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/EdgeFieldCategory.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#before()#$@$#System.setProperty#$@$#METHOD	java.lang.System	setProperty(java.lang.String,java.lang.String)	null	null	null
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#before()#$@$#Output.setDebug#$@$#METHOD	com.strategy.util.Output	setDebug(java.lang.Class,boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/Output.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#before()#$@$#com.strategy.havannah.logic.situation.BridgeConditionCalculator.class#$@$#FIELD	com.strategy.havannah.logic.situation.BridgeConditionCalculator	null	class	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/BridgeConditionCalculator.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#before()#$@$#Preferences.getInstance().setGenerateFiles#$@$#METHOD	com.strategy.util.preferences.Preferences	setGenerateFiles(boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/preferences/Preferences.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#before()#$@$#Preferences.getInstance#$@$#METHOD	com.strategy.util.preferences.Preferences	getInstance()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/preferences/Preferences.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#doAfter()#$@$#BddFactoryProvider.reset#$@$#METHOD	com.strategy.util.BddFactoryProvider	reset()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/BddFactoryProvider.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard3()#$@$#timeout#$@$#METHOD	org.junit.Test	timeout()	null	null	null
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard3()#$@$#BoardHavannah.createInstance#$@$#METHOD	com.strategy.havannah.board.BoardHavannah	createInstance(Array[],int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/board/BoardHavannah.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard3()#$@$#com.strategy.havannah.TestBoardProvider.BOARD_3#$@$#FIELD	com.strategy.havannah.TestBoardProvider	null	BOARD_3	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/TestBoardProvider.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard4()#$@$#timeout#$@$#METHOD	org.junit.Test	timeout()	null	null	null
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard4()#$@$#BoardHavannah.createInstance#$@$#METHOD	com.strategy.havannah.board.BoardHavannah	createInstance(Array[],int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/board/BoardHavannah.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard4()#$@$#com.strategy.havannah.TestBoardProvider.BOARD_4#$@$#FIELD	com.strategy.havannah.TestBoardProvider	null	BOARD_4	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/TestBoardProvider.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard5()#$@$#BoardHavannah.createInstance#$@$#METHOD	com.strategy.havannah.board.BoardHavannah	createInstance(Array[],int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/board/BoardHavannah.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard5()#$@$#com.strategy.havannah.TestBoardProvider.BOARD_5#$@$#FIELD	com.strategy.havannah.TestBoardProvider	null	BOARD_5	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/TestBoardProvider.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard5()#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard5()#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard5()#$@$#board.toIndexString#$@$#METHOD	com.strategy.api.board.Board	toIndexString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard6()#$@$#timeout#$@$#METHOD	org.junit.Test	timeout()	null	null	null
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard6()#$@$#BoardHavannah.createInstance#$@$#METHOD	com.strategy.havannah.board.BoardHavannah	createInstance(Array[],int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/board/BoardHavannah.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard6()#$@$#com.strategy.havannah.TestBoardProvider.BOARD_6#$@$#FIELD	com.strategy.havannah.TestBoardProvider	null	BOARD_6	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/TestBoardProvider.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard7()#$@$#timeout#$@$#METHOD	org.junit.Test	timeout()	null	null	null
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard7()#$@$#BoardHavannah.createInstance#$@$#METHOD	com.strategy.havannah.board.BoardHavannah	createInstance(Array[],int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/board/BoardHavannah.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testBoard7()#$@$#com.strategy.havannah.TestBoardProvider.BOARD_7#$@$#FIELD	com.strategy.havannah.TestBoardProvider	null	BOARD_7	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/TestBoardProvider.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testSuperTurn()#$@$#timeout#$@$#METHOD	org.junit.Test	timeout()	null	null	null
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testSuperTurn()#$@$#BoardHavannah.createInstance#$@$#METHOD	com.strategy.havannah.board.BoardHavannah	createInstance(Array[],int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/board/BoardHavannah.java
com.strategy.havannah.logic.situation.SituationPerformanceTest#$@$#testSuperTurn()#$@$#com.strategy.havannah.TestBoardProvider.BOARD_10#$@$#FIELD	com.strategy.havannah.TestBoardProvider	null	BOARD_10	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/TestBoardProvider.java
com.strategy.havannah.logic.situation.ForkCondidtionCalculatorTest#$@$#testFork1()#$@$#BoardHavannah.createInstance#$@$#METHOD	com.strategy.havannah.board.BoardHavannah	createInstance(Array[],int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/board/BoardHavannah.java
com.strategy.havannah.logic.situation.ForkCondidtionCalculatorTest#$@$#testFork1()#$@$#com.strategy.havannah.logic.situation.TestBoardProviderConditions.BOARD_FORK_1#$@$#FIELD	com.strategy.havannah.logic.situation.TestBoardProviderConditions	null	BOARD_FORK_1	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/TestBoardProviderConditions.java
com.strategy.havannah.logic.situation.ForkCondidtionCalculatorTest#$@$#testFork1()#$@$#calc.getBdd#$@$#METHOD	com.strategy.api.logic.situation.ConditionCalculator	getBdd()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/situation/ConditionCalculator.java
com.strategy.havannah.logic.situation.ForkCondidtionCalculatorTest#$@$#testFork1()#$@$#result.pathCount#$@$#METHOD	net.sf.javabdd.BDD	pathCount()	null	null	null
com.strategy.havannah.logic.situation.ForkCondidtionCalculatorTest#$@$#testFork1()#$@$#analyzer.done#$@$#METHOD	com.strategy.havannah.logic.BoardAnalyzerHavannah	done()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/BoardAnalyzerHavannah.java
com.strategy.havannah.logic.situation.ForkCondidtionCalculatorTest#$@$#testFork1()#$@$#Assert.assertEquals#$@$#METHOD	junit.framework.Assert	assertEquals(double,double,double)	null	null	null
com.strategy.havannah.logic.situation.ForkCondidtionCalculatorTest#$@$#testFork6()#$@$#BoardHavannah.createInstance#$@$#METHOD	com.strategy.havannah.board.BoardHavannah	createInstance(Array[],int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/board/BoardHavannah.java
com.strategy.havannah.logic.situation.ForkCondidtionCalculatorTest#$@$#testFork6()#$@$#com.strategy.havannah.logic.situation.TestBoardProviderConditions.BOARD_FORK_6#$@$#FIELD	com.strategy.havannah.logic.situation.TestBoardProviderConditions	null	BOARD_FORK_6	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/situation/TestBoardProviderConditions.java
com.strategy.havannah.logic.situation.ForkCondidtionCalculatorTest#$@$#testFork6()#$@$#calc.getBdd#$@$#METHOD	com.strategy.api.logic.situation.ConditionCalculator	getBdd()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/situation/ConditionCalculator.java
com.strategy.havannah.logic.situation.ForkCondidtionCalculatorTest#$@$#testFork6()#$@$#result.pathCount#$@$#METHOD	net.sf.javabdd.BDD	pathCount()	null	null	null
com.strategy.havannah.logic.situation.ForkCondidtionCalculatorTest#$@$#testFork6()#$@$#analyzer.done#$@$#METHOD	com.strategy.havannah.logic.BoardAnalyzerHavannah	done()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/logic/BoardAnalyzerHavannah.java
com.strategy.havannah.logic.situation.ForkCondidtionCalculatorTest#$@$#testFork6()#$@$#Assert.assertEquals#$@$#METHOD	junit.framework.Assert	assertEquals(double,double,double)	null	null	null
com.strategy.havannah.logic.situation.ForkCondidtionCalculatorTest#$@$#testSamplePredictForkInOneTurn()#$@$#BoardHavannah.createInstance#$@$#METHOD	com.strategy.havannah.board.BoardHavannah	createInstance(Array[],int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/board/BoardHavannah.java
com.strategy.havannah.logic.situation.ForkCondidtionCalculatorTest#$@$#testSamplePredictForkInOneTurn()#$@$#Output.setDebug#$@$#METHOD	com.strategy.util.Output	setDebug(java.lang.Class,boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/Output.java
