enc_class	enc_method	exp	kind	class	method	param	index	uri
Main#$@$#main(java.lang.String[])#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
backend.step_over#$@$#scanstart()#$@$#java.awt.Color.BLACK#$@$#FIELD	java.awt.Color	null	BLACK	null	null
backend.step_over#$@$#scanstart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#java.awt.Color.GREEN#$@$#FIELD	java.awt.Color	null	GREEN	null	null
backend.step_over#$@$#scanstart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.step_over#$@$#scanstart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#backend.ScanFile.stepins#$@$#FIELD	backend.ScanFile	null	stepins	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_over#$@$#scanstart()#$@$#java.awt.Color.BLACK#$@$#FIELD	java.awt.Color	null	BLACK	null	null
backend.step_over#$@$#scanstart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.step_over#$@$#scanstart()#$@$#soutLine.isEmpty#$@$#METHOD	java.lang.String	isEmpty()	null	null	null
backend.step_over#$@$#scanstart()#$@$#ScanFile.tokenizeInstruction#$@$#METHOD	backend.ScanFile	tokenizeInstruction(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.exceptionraised#$@$#FIELD	frontend.FrontEnd	null	exceptionraised	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#java.awt.Color.GREEN#$@$#FIELD	java.awt.Color	null	GREEN	null	null
backend.step_over#$@$#scanstart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#backend.ScanFile.stepins#$@$#FIELD	backend.ScanFile	null	stepins	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_over#$@$#scanstart()#$@$#java.awt.Color.BLACK#$@$#FIELD	java.awt.Color	null	BLACK	null	null
backend.step_over#$@$#scanstart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#java.awt.Color.GREEN#$@$#FIELD	java.awt.Color	null	GREEN	null	null
backend.step_over#$@$#scanstart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.step_over#$@$#scanstart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#backend.ScanFile.stepins#$@$#FIELD	backend.ScanFile	null	stepins	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_over#$@$#scanstart()#$@$#java.awt.Color.BLACK#$@$#FIELD	java.awt.Color	null	BLACK	null	null
backend.step_over#$@$#scanstart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.step_over#$@$#scanstart()#$@$#backend.StepRun.callbbeq#$@$#FIELD	backend.StepRun	null	callbbeq	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.step_over#$@$#scanstart()#$@$#FrontEnd.warning.setVisible#$@$#METHOD	javax.swing.JComponent	setVisible(boolean)	null	null	null
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.warning#$@$#FIELD	frontend.FrontEnd	null	warning	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#FrontEnd.cross.setVisible#$@$#METHOD	javax.swing.JComponent	setVisible(boolean)	null	null	null
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.cross#$@$#FIELD	frontend.FrontEnd	null	cross	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#FrontEnd.cross.setEnabled#$@$#METHOD	javax.swing.AbstractButton	setEnabled(boolean)	null	null	null
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.cross#$@$#FIELD	frontend.FrontEnd	null	cross	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#FrontEnd.steprun.setVisible#$@$#METHOD	javax.swing.JComponent	setVisible(boolean)	null	null	null
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.steprun#$@$#FIELD	frontend.FrontEnd	null	steprun	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#FrontEnd.run_stepOut.setEnabled#$@$#METHOD	javax.swing.JMenuItem	setEnabled(boolean)	null	null	null
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.run_stepOut#$@$#FIELD	frontend.FrontEnd	null	run_stepOut	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#FrontEnd.run_stepOver.setEnabled#$@$#METHOD	javax.swing.JMenuItem	setEnabled(boolean)	null	null	null
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.run_stepOver#$@$#FIELD	frontend.FrontEnd	null	run_stepOver	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#FrontEnd.r_stepOut.setEnabled#$@$#METHOD	javax.swing.AbstractButton	setEnabled(boolean)	null	null	null
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.r_stepOut#$@$#FIELD	frontend.FrontEnd	null	r_stepOut	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#FrontEnd.r_stepover.setEnabled#$@$#METHOD	javax.swing.AbstractButton	setEnabled(boolean)	null	null	null
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.r_stepover#$@$#FIELD	frontend.FrontEnd	null	r_stepover	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#backend.ScanFile.pos#$@$#FIELD	backend.ScanFile	null	pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_over#$@$#scanstart()#$@$#ScanFile.br.getFilePointer#$@$#METHOD	java.io.RandomAccessFile	getFilePointer()	null	null	null
backend.step_over#$@$#scanstart()#$@$#backend.ScanFile.br#$@$#FIELD	backend.ScanFile	null	br	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_over#$@$#scanstart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#backend.ScanFile.current_line#$@$#FIELD	backend.ScanFile	null	current_line	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_over#$@$#scanstart()#$@$#fpath.getName#$@$#METHOD	java.io.File	getName()	null	null	null
backend.step_over#$@$#scanstart()#$@$#fpath#$@$#FIELD	backend.step_over	null	fpath	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_over.java
backend.step_over#$@$#scanstart()#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.step_over#$@$#scanstart()#$@$#FrontEnd.statuswindow.setCaretPosition#$@$#METHOD	javax.swing.text.JTextComponent	setCaretPosition(int)	null	null	null
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#FrontEnd.statuswindow.getText().length#$@$#METHOD	java.lang.String	length()	null	null	null
backend.step_over#$@$#scanstart()#$@$#FrontEnd.statuswindow.getText#$@$#METHOD	javax.swing.JEditorPane	getText()	null	null	null
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#frontend.FrontEnd.exceptionraised#$@$#FIELD	frontend.FrontEnd	null	exceptionraised	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_over#$@$#scanstart()#$@$#frontend.handlers.debugMode#$@$#FIELD	frontend.handlers	null	debugMode	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
backend.NFlagRegister#$@$#NFlagRegister()#$@$#backend.NFlagRegister.GT#$@$#FIELD	backend.NFlagRegister	null	GT	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/NFlagRegister.java
backend.NFlagRegister#$@$#NFlagRegister()#$@$#backend.NFlagRegister.E#$@$#FIELD	backend.NFlagRegister	null	E	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/NFlagRegister.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#NumberedParagraphView(javax.swing.text.Element)#$@$#e#$@$#PARAMETER	frontend.NumberedViewFactory$NumberedParagraphView	NumberedParagraphView(javax.swing.text.Element)	e	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#NumberedParagraphView(javax.swing.text.Element)#$@$#this.setInsets#$@$#METHOD	frontend.NumberedViewFactory$NumberedParagraphView	setInsets(short,short,short,short)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#NumberedParagraphView(javax.swing.text.Element)#$@$#this#$@$#FIELD	frontend.NumberedViewFactory$NumberedParagraphView	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#setInsets(short,short,short,short)#$@$#super.setInsets#$@$#METHOD	javax.swing.text.CompositeView	setInsets(short,short,short,short)	null	null	null
frontend.NumberedViewFactory$NumberedParagraphView#$@$#setInsets(short,short,short,short)#$@$#super#$@$#FIELD	frontend.NumberedViewFactory$NumberedParagraphView	null	super	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#setInsets(short,short,short,short)#$@$#top#$@$#PARAMETER	frontend.NumberedViewFactory$NumberedParagraphView	setInsets(short,short,short,short)	top	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#setInsets(short,short,short,short)#$@$#left#$@$#PARAMETER	frontend.NumberedViewFactory$NumberedParagraphView	setInsets(short,short,short,short)	left	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#setInsets(short,short,short,short)#$@$#frontend.NumberedViewFactory$NumberedParagraphView.NUMBERS_WIDTH#$@$#FIELD	frontend.NumberedViewFactory$NumberedParagraphView	null	NUMBERS_WIDTH	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#setInsets(short,short,short,short)#$@$#bottom#$@$#PARAMETER	frontend.NumberedViewFactory$NumberedParagraphView	setInsets(short,short,short,short)	bottom	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#setInsets(short,short,short,short)#$@$#right#$@$#PARAMETER	frontend.NumberedViewFactory$NumberedParagraphView	setInsets(short,short,short,short)	right	3	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#super.paintChild#$@$#METHOD	javax.swing.text.BoxView	paintChild(java.awt.Graphics,java.awt.Rectangle,int)	null	null	null
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#super#$@$#FIELD	frontend.NumberedViewFactory$NumberedParagraphView	null	super	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#g#$@$#PARAMETER	frontend.NumberedViewFactory$NumberedParagraphView	paintChild(java.awt.Graphics,java.awt.Rectangle,int)	g	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#r#$@$#PARAMETER	frontend.NumberedViewFactory$NumberedParagraphView	paintChild(java.awt.Graphics,java.awt.Rectangle,int)	r	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#n#$@$#PARAMETER	frontend.NumberedViewFactory$NumberedParagraphView	paintChild(java.awt.Graphics,java.awt.Rectangle,int)	n	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#getPreviousLineCount#$@$#METHOD	frontend.NumberedViewFactory$NumberedParagraphView	getPreviousLineCount()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#r.x#$@$#FIELD	java.awt.Rectangle	null	x	null	null
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#r#$@$#PARAMETER	frontend.NumberedViewFactory$NumberedParagraphView	paintChild(java.awt.Graphics,java.awt.Rectangle,int)	r	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#getLeftInset#$@$#METHOD	javax.swing.text.CompositeView	getLeftInset()	null	null	null
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#r.y#$@$#FIELD	java.awt.Rectangle	null	y	null	null
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#r#$@$#PARAMETER	frontend.NumberedViewFactory$NumberedParagraphView	paintChild(java.awt.Graphics,java.awt.Rectangle,int)	r	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#r.height#$@$#FIELD	java.awt.Rectangle	null	height	null	null
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#r#$@$#PARAMETER	frontend.NumberedViewFactory$NumberedParagraphView	paintChild(java.awt.Graphics,java.awt.Rectangle,int)	r	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#g.drawString#$@$#METHOD	java.awt.Graphics	drawString(java.lang.String,int,int)	null	null	null
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#g#$@$#PARAMETER	frontend.NumberedViewFactory$NumberedParagraphView	paintChild(java.awt.Graphics,java.awt.Rectangle,int)	g	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#Integer.toString#$@$#METHOD	java.lang.Integer	toString(int)	null	null	null
frontend.NumberedViewFactory$NumberedParagraphView#$@$#paintChild(java.awt.Graphics,java.awt.Rectangle,int)#$@$#n#$@$#PARAMETER	frontend.NumberedViewFactory$NumberedParagraphView	paintChild(java.awt.Graphics,java.awt.Rectangle,int)	n	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#getPreviousLineCount()#$@$#this.getParent#$@$#METHOD	javax.swing.text.View	getParent()	null	null	null
frontend.NumberedViewFactory$NumberedParagraphView#$@$#getPreviousLineCount()#$@$#this#$@$#FIELD	frontend.NumberedViewFactory$NumberedParagraphView	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/NumberedViewFactory.java
frontend.NumberedViewFactory$NumberedParagraphView#$@$#getPreviousLineCount()#$@$#parent.getViewCount#$@$#METHOD	javax.swing.text.View	getViewCount()	null	null	null
