enc_class	enc_method	exp	kind	class	method	param	index	uri
hugo.project.hospital.NeedleDevice#$@$#NeedleDevice(int)#$@$#initialAmount#$@$#PARAMETER	hugo.project.hospital.NeedleDevice	NeedleDevice(int)	initialAmount	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/NeedleDevice.java
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#fromDepartment#$@$#PARAMETER	hugo.project.hospital.Hospital	printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)	fromDepartment	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#getDepartmentByName#$@$#METHOD	hugo.project.hospital.Hospital	getDepartmentByName(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#toDepartment#$@$#PARAMETER	hugo.project.hospital.Hospital	printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)	toDepartment	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#getDepartmentByName#$@$#METHOD	hugo.project.hospital.Hospital	getDepartmentByName(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#viaDepartment#$@$#PARAMETER	hugo.project.hospital.Hospital	printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)	viaDepartment	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#fromDepartment#$@$#PARAMETER	hugo.project.hospital.Hospital	printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)	fromDepartment	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#toDepartment#$@$#PARAMETER	hugo.project.hospital.Hospital	printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)	toDepartment	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#viaDepartment#$@$#PARAMETER	hugo.project.hospital.Hospital	printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)	viaDepartment	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#fromDepartment#$@$#PARAMETER	hugo.project.hospital.Hospital	printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)	fromDepartment	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#toDepartment#$@$#PARAMETER	hugo.project.hospital.Hospital	printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)	toDepartment	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#viaDepartment#$@$#PARAMETER	hugo.project.hospital.Hospital	printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)	viaDepartment	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#fromDepartment#$@$#PARAMETER	hugo.project.hospital.Hospital	printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)	fromDepartment	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#department.getName#$@$#METHOD	hugo.project.hospital.Hospital$Department	getName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
hugo.project.hospital.Hospital#$@$#printRouteFromToVia(java.lang.String,java.lang.String,java.lang.String)#$@$#java.lang.System.out#$@$#FIELD	java.lang.System	null	out	null	null
hugo.project.hospital.Hospital#$@$#closestDepartmentToWithDevice(java.lang.String,java.lang.String)#$@$#getDepartmentByName#$@$#METHOD	hugo.project.hospital.Hospital	getDepartmentByName(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#closestDepartmentToWithDevice(java.lang.String,java.lang.String)#$@$#dep#$@$#PARAMETER	hugo.project.hospital.Hospital	closestDepartmentToWithDevice(java.lang.String,java.lang.String)	dep	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#closestDepartmentToWithDevice(java.lang.String,java.lang.String)#$@$#departmentMap.bfsIteratFrom#$@$#METHOD	hugo.util.structure.EdgeGraph	bfsIteratFrom(E)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/EdgeGraph.java
hugo.project.hospital.Hospital#$@$#closestDepartmentToWithDevice(java.lang.String,java.lang.String)#$@$#departmentMap#$@$#FIELD	hugo.project.hospital.Hospital	null	departmentMap	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#closestDepartmentToWithDevice(java.lang.String,java.lang.String)#$@$#department.hasDevice#$@$#METHOD	hugo.project.hospital.Hospital$Department	hasDevice(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#closestDepartmentToWithDevice(java.lang.String,java.lang.String)#$@$#device#$@$#PARAMETER	hugo.project.hospital.Hospital	closestDepartmentToWithDevice(java.lang.String,java.lang.String)	device	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#closestDepartmentToWithDevice(java.lang.String,java.lang.String)#$@$#department.name#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#showRegister()#$@$#reception.toString#$@$#METHOD	hugo.project.hospital.Hospital$Reception	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#showRegister()#$@$#reception#$@$#FIELD	hugo.project.hospital.Hospital	null	reception	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#toString()#$@$#reception.toString#$@$#METHOD	hugo.project.hospital.Hospital$Reception	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#toString()#$@$#reception#$@$#FIELD	hugo.project.hospital.Hospital	null	reception	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#toString()#$@$#departmentList#$@$#FIELD	hugo.project.hospital.Hospital	null	departmentList	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital#$@$#toString()#$@$#department.toString#$@$#METHOD	hugo.project.hospital.Hospital$Department	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.util.structure.LinkedList$ListElement#$@$#ListElement(E,hugo.util.structure.LinkedList.ListElement)#$@$#el1#$@$#FIELD	hugo.util.structure.LinkedList$ListElement	null	el1	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList$ListElement#$@$#ListElement(E,hugo.util.structure.LinkedList.ListElement)#$@$#el#$@$#PARAMETER	hugo.util.structure.LinkedList$ListElement	ListElement(E,hugo.util.structure.LinkedList.ListElement)	el	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList$ListElement#$@$#ListElement(E,hugo.util.structure.LinkedList.ListElement)#$@$#el2#$@$#FIELD	hugo.util.structure.LinkedList$ListElement	null	el2	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList$ListElement#$@$#ListElement(E,hugo.util.structure.LinkedList.ListElement)#$@$#nextElement#$@$#PARAMETER	hugo.util.structure.LinkedList$ListElement	ListElement(E,hugo.util.structure.LinkedList.ListElement)	nextElement	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList$ListElement#$@$#ListElement(E)#$@$#el#$@$#PARAMETER	hugo.util.structure.LinkedList$ListElement	ListElement(E)	el	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList$ListElement#$@$#first()#$@$#el1#$@$#FIELD	hugo.util.structure.LinkedList$ListElement	null	el1	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList$ListElement#$@$#rest()#$@$#el2#$@$#FIELD	hugo.util.structure.LinkedList$ListElement	null	el2	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList$ListElement#$@$#setFirst(E)#$@$#el1#$@$#FIELD	hugo.util.structure.LinkedList$ListElement	null	el1	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList$ListElement#$@$#setFirst(E)#$@$#o#$@$#PARAMETER	hugo.util.structure.LinkedList$ListElement	setFirst(E)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList$ListElement#$@$#setRest(hugo.util.structure.LinkedList.ListElement)#$@$#el2#$@$#FIELD	hugo.util.structure.LinkedList$ListElement	null	el2	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList$ListElement#$@$#setRest(hugo.util.structure.LinkedList.ListElement)#$@$#el#$@$#PARAMETER	hugo.util.structure.LinkedList$ListElement	setRest(hugo.util.structure.LinkedList.ListElement)	el	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#LinkedList()#$@$#head#$@$#FIELD	hugo.util.structure.LinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#LinkedList()#$@$#size#$@$#FIELD	hugo.util.structure.LinkedList	null	size	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#addFirst(E)#$@$#head#$@$#FIELD	hugo.util.structure.LinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#addFirst(E)#$@$#o#$@$#PARAMETER	hugo.util.structure.LinkedList	addFirst(E)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#addFirst(E)#$@$#head#$@$#FIELD	hugo.util.structure.LinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#addFirst(E)#$@$#size#$@$#FIELD	hugo.util.structure.LinkedList	null	size	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#addLast(E)#$@$#head#$@$#FIELD	hugo.util.structure.LinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#addLast(E)#$@$#isEmpty#$@$#METHOD	hugo.util.structure.LinkedList	isEmpty()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#addLast(E)#$@$#addFirst#$@$#METHOD	hugo.util.structure.LinkedList	addFirst(E)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#addLast(E)#$@$#o#$@$#PARAMETER	hugo.util.structure.LinkedList	addLast(E)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#addLast(E)#$@$#d.rest#$@$#METHOD	hugo.util.structure.LinkedList$ListElement	rest()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#addLast(E)#$@$#d.rest#$@$#METHOD	hugo.util.structure.LinkedList$ListElement	rest()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#addLast(E)#$@$#d.el2#$@$#FIELD	hugo.util.structure.LinkedList$ListElement	null	el2	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#addLast(E)#$@$#o#$@$#PARAMETER	hugo.util.structure.LinkedList	addLast(E)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#addLast(E)#$@$#size#$@$#FIELD	hugo.util.structure.LinkedList	null	size	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeFirst()#$@$#isEmpty#$@$#METHOD	hugo.util.structure.LinkedList	isEmpty()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeFirst()#$@$#head#$@$#FIELD	hugo.util.structure.LinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeFirst()#$@$#head.rest#$@$#METHOD	hugo.util.structure.LinkedList$ListElement	rest()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeFirst()#$@$#head#$@$#FIELD	hugo.util.structure.LinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeFirst()#$@$#size#$@$#FIELD	hugo.util.structure.LinkedList	null	size	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeLast()#$@$#head#$@$#FIELD	hugo.util.structure.LinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeLast()#$@$#head#$@$#FIELD	hugo.util.structure.LinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeLast()#$@$#head.rest#$@$#METHOD	hugo.util.structure.LinkedList$ListElement	rest()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeLast()#$@$#head#$@$#FIELD	hugo.util.structure.LinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeLast()#$@$#head#$@$#FIELD	hugo.util.structure.LinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeLast()#$@$#size#$@$#FIELD	hugo.util.structure.LinkedList	null	size	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeLast()#$@$#tmp.rest().rest#$@$#METHOD	hugo.util.structure.LinkedList$ListElement	rest()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeLast()#$@$#tmp.rest#$@$#METHOD	hugo.util.structure.LinkedList$ListElement	rest()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeLast()#$@$#tmp.rest#$@$#METHOD	hugo.util.structure.LinkedList$ListElement	rest()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeLast()#$@$#tmp.el2#$@$#FIELD	hugo.util.structure.LinkedList$ListElement	null	el2	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#removeLast()#$@$#size#$@$#FIELD	hugo.util.structure.LinkedList	null	size	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#remove(java.lang.Comparable)#$@$#head#$@$#FIELD	hugo.util.structure.LinkedList	null	head	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#remove(java.lang.Comparable)#$@$#isEmpty#$@$#METHOD	hugo.util.structure.LinkedList	isEmpty()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.util.structure.LinkedList#$@$#remove(java.lang.Comparable)#$@$#element.first().equals#$@$#METHOD	java.lang.Object	equals(java.lang.Object)	null	null	null
hugo.util.structure.LinkedList#$@$#remove(java.lang.Comparable)#$@$#element.first#$@$#METHOD	hugo.util.structure.LinkedList$ListElement	first()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
